country,survey_year,hdi_category,indicator_name,reference,values
Brazil,1996,HIGH HUMAN DEVELOPMENT,Rang_IDH,,70
Kazakhstan,1999,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,73
Colombia,2005,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,75
Thailand,2005-06,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,d,78
Dominican Republic,1996,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,79
Armenia,2005,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,83
Turkey,1998,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,84
Jordan,1997,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,86
Peru,2004-05,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,87
Philippines,2003,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,90
Paraguay,1990,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,95
Viet Nam,2002,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,105
Indonesia,1997,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,107
Turkmenistan,2000,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,109
Nicaragua,2001,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,110
Moldova,2005,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,111
Egypt,2005,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,112
Uzbekistan,1996,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,113
Kyrgyzstan,1997,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,116
Bolivia,2003,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,117
Guatemala,1998-99,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,118
Gabon,2000,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,119
South Africa,1998,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,121
Tajikistan,2006,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,"d,h",122
Namibia,2000,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,125
Morocco,2003-04,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,126
India,1998-99,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,128
Cambodia,2005,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,131
Comoros,1996,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,134
Ghana,2006,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,"d,h",135
Pakistan,1990,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,136
Mauritania,2000-01,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,137
Lesotho,2004,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,138
Congo,2005,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,139
Bangladesh,2004,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,140
Nepal,2001,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,142
Madagascar,2003-04,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,143
Cameroon,2004,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,144
Haiti,2005-06,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,146
Kenya,2003,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,148
Zimbabwe,1999,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,151
Togo,1998,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,152
Yemen,1997,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,153
Uganda,2000-01,MEDIUM HUMAN DEVELOPMENT,Rang_IDH,,154
Senegal,2005,LOW HUMAN DEVELOPMENT,Rang_IDH,,156
Eritrea,2002,LOW HUMAN DEVELOPMENT,Rang_IDH,,157
Nigeria,2003,LOW HUMAN DEVELOPMENT,Rang_IDH,,158
Tanzania (United Republic of),1999,LOW HUMAN DEVELOPMENT,Rang_IDH,,159
Guinea,2005,LOW HUMAN DEVELOPMENT,Rang_IDH,,160
Rwanda,2005,LOW HUMAN DEVELOPMENT,Rang_IDH,,161
Benin,2001,,Rang_IDH,,163
Malawi,2000,,Rang_IDH,"d,h",164
Zambia,2001-02,,Rang_IDH,,165
Côte d'Ivoire,2005,,Rang_IDH,,166
Ethiopia,2005,,Rang_IDH,,169
Chad,2004,,Rang_IDH,,170
Central African Republic,1994-95,,Rang_IDH,,171
Mozambique,2003,,Rang_IDH,,172
Mali,2001,,Rang_IDH,,173
Niger,2006,,Rang_IDH,,174
Burkina Faso,2003,,Rang_IDH,,176
Sierra Leone,2005,,Rang_IDH,"d,h",177
Brazil,1996,HIGH HUMAN DEVELOPMENT,Birth_attended_Poor,,72
Kazakhstan,1999,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,99
Colombia,2005,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,72
Thailand,2005-06,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,d,93
Dominican Republic,1996,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,89
Armenia,2005,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,96
Turkey,1998,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,53
Jordan,1997,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,91
Peru,2004-05,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,34
Philippines,2003,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,25
Paraguay,1990,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,41
Viet Nam,2002,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,58
Indonesia,1997,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,21
Turkmenistan,2000,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,97
Nicaragua,2001,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,78
Moldova,2005,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,99
Egypt,2005,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,51
Uzbekistan,1996,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,92
Kyrgyzstan,1997,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,96
Bolivia,2003,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,27
Guatemala,1998-99,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,9
Gabon,2000,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,67
South Africa,1998,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,68
Tajikistan,2006,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,"d,h",69
Namibia,2000,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,55
Morocco,2003-04,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,30
India,1998-99,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,16
Cambodia,2005,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,21
Comoros,1996,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,26
Ghana,2006,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,"d,h",..
Pakistan,1990,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,5
Mauritania,2000-01,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,15
Lesotho,2004,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,34
Congo,2005,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,70
Bangladesh,2004,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,3
Nepal,2001,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,4
Madagascar,2003-04,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,30
Cameroon,2004,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,29
Haiti,2005-06,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,6
Kenya,2003,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,17
Zimbabwe,1999,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,57
Togo,1998,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,25
Yemen,1997,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,7
Uganda,2000-01,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Poor,,20
Senegal,2005,LOW HUMAN DEVELOPMENT,Birth_attended_Poor,,20
Eritrea,2002,LOW HUMAN DEVELOPMENT,Birth_attended_Poor,,7
Nigeria,2003,LOW HUMAN DEVELOPMENT,Birth_attended_Poor,,12
Tanzania (United Republic of),1999,LOW HUMAN DEVELOPMENT,Birth_attended_Poor,,29
Guinea,2005,LOW HUMAN DEVELOPMENT,Birth_attended_Poor,,15
Rwanda,2005,LOW HUMAN DEVELOPMENT,Birth_attended_Poor,,27
Benin,2001,,Birth_attended_Poor,,50
Malawi,2000,,Birth_attended_Poor,"d,h",43
Zambia,2001-02,,Birth_attended_Poor,,20
Côte d'Ivoire,2005,,Birth_attended_Poor,,27
Ethiopia,2005,,Birth_attended_Poor,,1
Chad,2004,,Birth_attended_Poor,,4
Central African Republic,1994-95,,Birth_attended_Poor,,14
Mozambique,2003,,Birth_attended_Poor,,25
Mali,2001,,Birth_attended_Poor,,8
Niger,2006,,Birth_attended_Poor,,21
Burkina Faso,2003,,Birth_attended_Poor,,39
Sierra Leone,2005,,Birth_attended_Poor,"d,h",27
Brazil,1996,HIGH HUMAN DEVELOPMENT,Birth_attended_Rich,,99
Kazakhstan,1999,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,99
Colombia,2005,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,99
Thailand,2005-06,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,d,100
Dominican Republic,1996,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,98
Armenia,2005,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,100
Turkey,1998,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,98
Jordan,1997,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,99
Peru,2004-05,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,100
Philippines,2003,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,92
Paraguay,1990,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,98
Viet Nam,2002,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,100
Indonesia,1997,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,89
Turkmenistan,2000,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,98
Nicaragua,2001,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,99
Moldova,2005,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,100
Egypt,2005,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,96
Uzbekistan,1996,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,100
Kyrgyzstan,1997,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,100
Bolivia,2003,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,98
Guatemala,1998-99,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,92
Gabon,2000,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,97
South Africa,1998,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,98
Tajikistan,2006,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,"d,h",91
Namibia,2000,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,97
Morocco,2003-04,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,95
India,1998-99,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,84
Cambodia,2005,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,90
Comoros,1996,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,85
Ghana,2006,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,"d,h",..
Pakistan,1990,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,55
Mauritania,2000-01,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,93
Lesotho,2004,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,83
Congo,2005,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,98
Bangladesh,2004,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,40
Nepal,2001,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,45
Madagascar,2003-04,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,94
Cameroon,2004,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,94
Haiti,2005-06,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,68
Kenya,2003,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,75
Zimbabwe,1999,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,94
Togo,1998,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,91
Yemen,1997,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,50
Uganda,2000-01,MEDIUM HUMAN DEVELOPMENT,Birth_attended_Rich,,77
Senegal,2005,LOW HUMAN DEVELOPMENT,Birth_attended_Rich,,89
Eritrea,2002,LOW HUMAN DEVELOPMENT,Birth_attended_Rich,,81
Nigeria,2003,LOW HUMAN DEVELOPMENT,Birth_attended_Rich,,84
Tanzania (United Republic of),1999,LOW HUMAN DEVELOPMENT,Birth_attended_Rich,,83
Guinea,2005,LOW HUMAN DEVELOPMENT,Birth_attended_Rich,,87
Rwanda,2005,LOW HUMAN DEVELOPMENT,Birth_attended_Rich,,66
Benin,2001,,Birth_attended_Rich,,99
Malawi,2000,,Birth_attended_Rich,"d,h",83
Zambia,2001-02,,Birth_attended_Rich,,91
Côte d'Ivoire,2005,,Birth_attended_Rich,,88
Ethiopia,2005,,Birth_attended_Rich,,27
Chad,2004,,Birth_attended_Rich,,55
Central African Republic,1994-95,,Birth_attended_Rich,,82
Mozambique,2003,,Birth_attended_Rich,,89
Mali,2001,,Birth_attended_Rich,,82
Niger,2006,,Birth_attended_Rich,,71
Burkina Faso,2003,,Birth_attended_Rich,,91
Sierra Leone,2005,,Birth_attended_Rich,"d,h",83
Brazil,1996,HIGH HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,57
Kazakhstan,1999,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,69
Colombia,2005,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,47
Thailand,2005-06,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,d,92
Dominican Republic,1996,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,34
Armenia,2005,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,59
Turkey,1998,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,28
Jordan,1997,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,21
Peru,2004-05,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,65
Philippines,2003,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,56
Paraguay,1990,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,20
Viet Nam,2002,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,44
Indonesia,1997,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,43
Turkmenistan,2000,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,85
Nicaragua,2001,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,64
Moldova,2005,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,86
Egypt,2005,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,85
Uzbekistan,1996,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,81
Kyrgyzstan,1997,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,69
Bolivia,2003,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,48
Guatemala,1998-99,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,66
Gabon,2000,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,6
South Africa,1998,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,51
Tajikistan,2006,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,"d,h",..
Namibia,2000,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,60
Morocco,2003-04,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,81
India,1998-99,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,21
Cambodia,2005,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,56
Comoros,1996,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,40
Ghana,2006,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,"d,h",62
Pakistan,1990,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,23
